Offset-Description                                     
0000 - 4 Bytes           21C5828 : 22                  
6A54 - 4 Bytes           21CC27C : 0                   
6A58 - 4 Bytes           21CC280 : 0                   
6A5C - 4 Bytes           21CC284 : 0                   
6A60 - 4 Bytes           21CC288 : 0                   
6A64 - 4 Bytes           21CC28C : 0                   
6A68 - 4 Bytes           21CC290 : 0                   
6A6C - 4 Bytes           21CC294 : 0                   
6A70 - 4 Bytes           21CC298 : 0                   
6A74 - 4 Bytes           21CC29C : 0                   
6A78 - 4 Bytes           21CC2A0 : 0                   
6A7C - 4 Bytes           21CC2A4 : 0                   
6A80 - 4 Bytes           21CC2A8 : 0                   
6A84 - 4 Bytes           21CC2AC : 0                   
6A88 - 4 Bytes           21CC2B0 : 0                   
6A8C - 4 Bytes           21CC2B4 : 0                   
6A90 - Pointer           21CC2B8 : P->03FF0012         
6A94 - 4 Bytes           21CC2BC : 157                 
6A98 - 4 Bytes           21CC2C0 : 0                   
6A9C - 4 Bytes           21CC2C4 : 0                   
6AA0 - 4 Bytes           21CC2C8 : 0                   
6AA4 - 4 Bytes           21CC2CC : 0                   
6AA8 - 4 Bytes           21CC2D0 : 0                   
6AAC - 4 Bytes           21CC2D4 : 0                   
6AB0 - Pointer           21CC2D8 : P->01000001         
6AB4 - 4 Bytes           21CC2DC : 0                   
6AB8 - Float             21CC2E0 : -15                 
6ABC - Float             21CC2E4 : -15                 
6AC0 - 4 Bytes           21CC2E8 : 0                   
6AC4 - Float             21CC2EC : 15                  
6AC8 - Float             21CC2F0 : 15                  
6ACC - Float             21CC2F4 : 48                  
6AD0 - Pointer           21CC2F8 : P->04000000         
6AD4 - Float             21CC2FC : -50.56262207        
6AD8 - String            21CC300 : ;™ÐB                
6ADC - Float             21CC304 : -109.6016693        
6AE0 - Pointer           21CC308 : P->426193FB         
6AE4 - Pointer           21CC30C : P->435341A4         
6AE8 - Byte              21CC310 : 8                   
6AE9 - Byte              21CC311 : 64                  
6AEA - Byte              21CC312 : 41                  
6AEB - Byte              21CC313 : 192                 
6AEC - Pointer           21CC314 : P->403A9EDC         
6AF0 - Pointer           21CC318 : P->431DC721         
6AF4 - Float             21CC31C : -56.12310028        
6AF8 - 4 Bytes           21CC320 : 0                   
6AFC - Pointer           21CC324 : P->4348AFA3         
6B00 - 4 Bytes           21CC328 : 0                   
6B04 - 4 Bytes           21CC32C : 0                   
6B08 - 4 Bytes           21CC330 : 0                   
6B0C - 4 Bytes           21CC334 : 0                   
6B10 - 4 Bytes           21CC338 : 0                   
6B14 - 4 Bytes           21CC33C : 0                   
6B18 - 4 Bytes           21CC340 : 0                   
6B1C - 4 Bytes           21CC344 : 0                   
6B20 - 4 Bytes           21CC348 : 0                   
6B24 - Pointer           21CC34C : P->0001009D         
6B28 - Pointer           21CC350 : P->00030000         
6B2C - Pointer           21CC354 : P->11850061         
6B30 - 4 Bytes           21CC358 : 0                   
6B34 - 4 Bytes           21CC35C : 0                   
6B38 - 4 Bytes           21CC360 : 0                   
6B3C - 4 Bytes           21CC364 : 0                   
6B40 - 4 Bytes           21CC368 : 0                   
6B44 - 4 Bytes           21CC36C : 0                   
6B48 - 4 Bytes           21CC370 : 0                   
6B4C - 4 Bytes           21CC374 : 0                   
6B50 - Pointer           21CC378 : P->00010001         
6B54 - 4 Bytes           21CC37C : 8526                
6B58 - 4 Bytes           21CC380 : 0                   
6B5C - 4 Bytes           21CC384 : 0                   
6B60 - 4 Bytes           21CC388 : 0                   
6B64 - 4 Bytes           21CC38C : 0                   
6B68 - 4 Bytes           21CC390 : 0                   
6B6C - 4 Bytes           21CC394 : 0                   
6B70 - 4 Bytes           21CC398 : 0                   
6B74 - 4 Bytes           21CC39C : 0                   
6B78 - 4 Bytes           21CC3A0 : 0                   
6B7C - 4 Bytes           21CC3A4 : 0                   
6B80 - 4 Bytes           21CC3A8 : 0                   
6B84 - 4 Bytes           21CC3AC : 0                   
6B88 - 4 Bytes           21CC3B0 : 0                   
6B8C - 4 Bytes           21CC3B4 : 0                   
6B90 - 4 Bytes           21CC3B8 : 0                   
6B94 - 4 Bytes           21CC3BC : 0                   
6B98 - 4 Bytes           21CC3C0 : 0                   
6B9C - 4 Bytes           21CC3C4 : 0                   
6BA0 - 4 Bytes           21CC3C8 : 0                   
6BA4 - 4 Bytes           21CC3CC : 0                   
6BA8 - 4 Bytes           21CC3D0 : 0                   
6BAC - 4 Bytes           21CC3D4 : 0                   
6BB0 - 4 Bytes           21CC3D8 : 0                   
6BB4 - 4 Bytes           21CC3DC : 0                   
6BB8 - 4 Bytes           21CC3E0 : 0                   
6BBC - 4 Bytes           21CC3E4 : 0                   
6BC0 - 4 Bytes           21CC3E8 : 0                   
6BC4 - 4 Bytes           21CC3EC : 0                   
6BC8 - 4 Bytes           21CC3F0 : 0                   
6BCC - 4 Bytes           21CC3F4 : 0                   
6BD0 - 4 Bytes           21CC3F8 : 0                   
6BD4 - 4 Bytes           21CC3FC : 0                   
6BD8 - 4 Bytes           21CC400 : 0                   
6BDC - 4 Bytes           21CC404 : 0                   
6BE0 - 4 Bytes           21CC408 : 0                   
6BE4 - Pointer           21CC40C : P->000606F8         
6BE8 - 4 Bytes           21CC410 : 0                   
6BEC - 4 Bytes           21CC414 : 0                   
6BF0 - 4 Bytes           21CC418 : 0                   
6BF4 - 4 Bytes           21CC41C : 0                   
6BF8 - 4 Bytes           21CC420 : 0                   
6BFC - 4 Bytes           21CC424 : 0                   
6C00 - 4 Bytes           21CC428 : 0                   
6C04 - 4 Bytes           21CC42C : 0                   
6C08 - 4 Bytes           21CC430 : 0                   
6C0C - 4 Bytes           21CC434 : 0                   
6C10 - 4 Bytes           21CC438 : 0                   
6C14 - 4 Bytes           21CC43C : 0                   
6C18 - 4 Bytes           21CC440 : 0                   
6C1C - 4 Bytes           21CC444 : 0                   
6C20 - 4 Bytes           21CC448 : 0                   
6C24 - 4 Bytes           21CC44C : 0                   
6C28 - 4 Bytes           21CC450 : 0                   
6C2C - 4 Bytes           21CC454 : 0                   
6C30 - 4 Bytes           21CC458 : 0                   
6C34 - 4 Bytes           21CC45C : 0                   
6C38 - 4 Bytes           21CC460 : 0                   
6C3C - 4 Bytes           21CC464 : 0                   
6C40 - 4 Bytes           21CC468 : 0                   
6C44 - 4 Bytes           21CC46C : 0                   
6C48 - 4 Bytes           21CC470 : 0                   
6C4C - 4 Bytes           21CC474 : 0                   
6C50 - 4 Bytes           21CC478 : 0                   
6C54 - 4 Bytes           21CC47C : 0                   
6C58 - 4 Bytes           21CC480 : 0                   
6C5C - 4 Bytes           21CC484 : 0                   
6C60 - 4 Bytes           21CC488 : 0                   
6C64 - 4 Bytes           21CC48C : 0                   
6C68 - 4 Bytes           21CC490 : 0                   
6C6C - 4 Bytes           21CC494 : 0                   
6C70 - 4 Bytes           21CC498 : 0                   
6C74 - 4 Bytes           21CC49C : 0                   
6C78 - 4 Bytes           21CC4A0 : 0                   
6C7C - 4 Bytes           21CC4A4 : 0                   
6C80 - 4 Bytes           21CC4A8 : 0                   
6C84 - 4 Bytes           21CC4AC : 0                   
6C88 - 4 Bytes           21CC4B0 : 0                   
6C8C - 4 Bytes           21CC4B4 : 0                   
6C90 - 4 Bytes           21CC4B8 : 0                   
6C94 - 4 Bytes           21CC4BC : 0                   
6C98 - 4 Bytes           21CC4C0 : 0                   
6C9C - 4 Bytes           21CC4C4 : 0                   
6CA0 - 4 Bytes           21CC4C8 : 0                   
6CA4 - 4 Bytes           21CC4CC : 0                   
6CA8 - 4 Bytes           21CC4D0 : 0                   
6CAC - 4 Bytes           21CC4D4 : 0                   
6CB0 - 4 Bytes           21CC4D8 : 0                   
6CB4 - 4 Bytes           21CC4DC : 0                   
6CB8 - 4 Bytes           21CC4E0 : 0                   
6CBC - 4 Bytes           21CC4E4 : 3                   
6CC0 - 4 Bytes           21CC4E8 : 0                   
6CC4 - 4 Bytes           21CC4EC : 0                   
6CC8 - Pointer           21CC4F0 : P->000606F8         
6CCC - 4 Bytes           21CC4F4 : 0                   
6CD0 - 4 Bytes           21CC4F8 : 0                   
6CD4 - 4 Bytes           21CC4FC : 57                  
6CD8 - Pointer           21CC500 : P->04040800         
6CDC - 4 Bytes           21CC504 : 0                   
6CE0 - 4 Bytes           21CC508 : 14                  
6CE4 - 4 Bytes           21CC50C : 0                   
6CE8 - 4 Bytes           21CC510 : 0                   
6CEC - Float             21CC514 : 231.2749786         
6CF0 - Pointer           21CC518 : P->C2619059         
6CF4 - Float             21CC51C : -53.1615448         
6CF8 - 4 Bytes           21CC520 : 0                   
6CFC - 4 Bytes           21CC524 : 0                   
6D00 - 4 Bytes           21CC528 : 0                   
6D04 - 4 Bytes           21CC52C : 0                   
6D08 - 4 Bytes           21CC530 : 0                   
6D0C - 4 Bytes           21CC534 : 0                   
6D10 - 4 Bytes           21CC538 : 0                   
6D14 - Byte              21CC53C : 98                  
6D15 - Byte              21CC53D : 241                 
6D16 - Byte              21CC53E : 117                 
6D17 - Byte              21CC53F : 67                  
6D18 - 4 Bytes           21CC540 : 0                   
6D1C - 4 Bytes           21CC544 : 0                   
6D20 - 4 Bytes           21CC548 : 0                   
6D24 - 4 Bytes           21CC54C : 0                   
6D28 - 4 Bytes           21CC550 : 11                  
6D2C - 4 Bytes           21CC554 : 0                   
6D30 - 4 Bytes           21CC558 : 2                   
6D34 - 4 Bytes           21CC55C : 0                   
6D38 - 4 Bytes           21CC560 : 0                   
6D3C - Pointer           21CC564 : P->00010000         
6D40 - 4 Bytes           21CC568 : 0                   
6D44 - 4 Bytes           21CC56C : 0                   
6D48 - 4 Bytes           21CC570 : 0                   
6D4C - Pointer           21CC574 : P->01200004         
6D50 - 4 Bytes           21CC578 : 0                   
6D54 - 4 Bytes           21CC57C : 0                   
6D58 - 4 Bytes           21CC580 : 0                   
6D5C - 4 Bytes           21CC584 : 0                   
6D60 - 4 Bytes           21CC588 : 0                   
6D64 - Pointer           21CC58C : P->00000028         
6D68 - 4 Bytes           21CC590 : 0                   
6D6C - 4 Bytes           21CC594 : 0                   
6D70 - 4 Bytes           21CC598 : 0                   
6D74 - 4 Bytes           21CC59C : 0                   
6D78 - 4 Bytes           21CC5A0 : 0                   
6D7C - 4 Bytes           21CC5A4 : 0                   
6D80 - 4 Bytes           21CC5A8 : 0                   
6D84 - 4 Bytes           21CC5AC : 0                   
6D88 - 4 Bytes           21CC5B0 : 0                   
6D8C - 4 Bytes           21CC5B4 : 0                   
6D90 - 4 Bytes           21CC5B8 : 0                   
6D94 - 4 Bytes           21CC5BC : 0                   
6D98 - 4 Bytes           21CC5C0 : 0                   
6D9C - 4 Bytes           21CC5C4 : 0                   
6DA0 - 4 Bytes           21CC5C8 : 0                   
6DA4 - 4 Bytes           21CC5CC : 0                   
6DA8 - 4 Bytes           21CC5D0 : 0                   
6DAC - Pointer           21CC5D4 : P->03FF0012         
6DB0 - 4 Bytes           21CC5D8 : 121                 
6DB4 - 4 Bytes           21CC5DC : 0                   
6DB8 - 4 Bytes           21CC5E0 : 0                   
6DBC - 4 Bytes           21CC5E4 : 0                   
6DC0 - 4 Bytes           21CC5E8 : 0                   
6DC4 - 4 Bytes           21CC5EC : 0                   
6DC8 - 4 Bytes           21CC5F0 : 0                   
6DCC - Pointer           21CC5F4 : P->01000001         
6DD0 - 4 Bytes           21CC5F8 : 0                   
6DD4 - Float             21CC5FC : -15                 
6DD8 - Float             21CC600 : -15                 
6DDC - 4 Bytes           21CC604 : 0                   
6DE0 - Float             21CC608 : 15                  
6DE4 - Float             21CC60C : 15                  
6DE8 - Float             21CC610 : 48                  
6DEC - Pointer           21CC614 : P->04000000         
6DF0 - Float             21CC618 : 177.7964172         
6DF4 - Pointer           21CC61C : P->C2DBBD33         
6DF8 - Float             21CC620 : -106.6401138        
6DFC - Pointer           21CC624 : P->438E6074         
6E00 - Pointer           21CC628 : P->C03A64B8         
6E04 - Pointer           21CC62C : P->3EA250BE         
6E08 - Float             21CC630 : 231.2749786         
6E0C - Pointer           21CC634 : P->C2619059         
6E10 - Float             21CC638 : -53.1615448         
6E14 - 4 Bytes           21CC63C : 0                   
6E18 - Byte              21CC640 : 98                  
6E19 - Byte              21CC641 : 241                 
6E1A - Byte              21CC642 : 117                 
6E1B - Byte              21CC643 : 67                  
6E1C - 4 Bytes           21CC644 : 0                   
6E20 - 4 Bytes           21CC648 : 0                   
6E24 - 4 Bytes           21CC64C : 0                   
6E28 - 4 Bytes           21CC650 : 0                   
6E2C - 4 Bytes           21CC654 : 0                   
6E30 - 4 Bytes           21CC658 : 0                   
6E34 - 4 Bytes           21CC65C : 0                   
6E38 - 4 Bytes           21CC660 : 0                   
6E3C - 4 Bytes           21CC664 : 0                   
6E40 - Pointer           21CC668 : P->00010079         
6E44 - Pointer           21CC66C : P->00030000         
6E48 - Pointer           21CC670 : P->11850061         
6E4C - 4 Bytes           21CC674 : 0                   
6E50 - 4 Bytes           21CC678 : 0                   
6E54 - 4 Bytes           21CC67C : 0                   
6E58 - 4 Bytes           21CC680 : 0                   
6E5C - 4 Bytes           21CC684 : 0                   
6E60 - 4 Bytes           21CC688 : 0                   
6E64 - 4 Bytes           21CC68C : 0                   
6E68 - 4 Bytes           21CC690 : 0                   
6E6C - Pointer           21CC694 : P->00010001         
6E70 - 4 Bytes           21CC698 : 8526                
6E74 - 4 Bytes           21CC69C : 0                   
6E78 - 4 Bytes           21CC6A0 : 0                   
6E7C - 4 Bytes           21CC6A4 : 0                   
6E80 - 4 Bytes           21CC6A8 : 0                   
6E84 - 4 Bytes           21CC6AC : 0                   
6E88 - 4 Bytes           21CC6B0 : 0                   
6E8C - 4 Bytes           21CC6B4 : 0                   
6E90 - 4 Bytes           21CC6B8 : 0                   
6E94 - 4 Bytes           21CC6BC : 0                   
6E98 - 4 Bytes           21CC6C0 : 0                   
6E9C - 4 Bytes           21CC6C4 : 0                   
6EA0 - 4 Bytes           21CC6C8 : 0                   
6EA4 - 4 Bytes           21CC6CC : 0                   
6EA8 - 4 Bytes           21CC6D0 : 0                   
6EAC - 4 Bytes           21CC6D4 : 0                   
6EB0 - 4 Bytes           21CC6D8 : 0                   
6EB4 - 4 Bytes           21CC6DC : 0                   
6EB8 - 4 Bytes           21CC6E0 : 0                   
6EBC - 4 Bytes           21CC6E4 : 0                   
6EC0 - 4 Bytes           21CC6E8 : 0                   
6EC4 - 4 Bytes           21CC6EC : 0                   
6EC8 - 4 Bytes           21CC6F0 : 0                   
6ECC - 4 Bytes           21CC6F4 : 0                   
6ED0 - 4 Bytes           21CC6F8 : 0                   
6ED4 - 4 Bytes           21CC6FC : 0                   
6ED8 - 4 Bytes           21CC700 : 0                   
6EDC - 4 Bytes           21CC704 : 0                   
6EE0 - 4 Bytes           21CC708 : 0                   
6EE4 - 4 Bytes           21CC70C : 0                   
6EE8 - 4 Bytes           21CC710 : 0                   
6EEC - 4 Bytes           21CC714 : 0                   
6EF0 - 4 Bytes           21CC718 : 0                   
6EF4 - 4 Bytes           21CC71C : 0                   
6EF8 - 4 Bytes           21CC720 : 0                   
6EFC - 4 Bytes           21CC724 : 0                   
6F00 - Pointer           21CC728 : P->000623E0         
6F04 - 4 Bytes           21CC72C : 0                   
6F08 - 4 Bytes           21CC730 : 0                   
6F0C - 4 Bytes           21CC734 : 0                   
6F10 - 4 Bytes           21CC738 : 0                   
6F14 - 4 Bytes           21CC73C : 0                   
6F18 - 4 Bytes           21CC740 : 0                   
6F1C - 4 Bytes           21CC744 : 0                   
6F20 - 4 Bytes           21CC748 : 0                   
6F24 - 4 Bytes           21CC74C : 0                   
6F28 - 4 Bytes           21CC750 : 0                   
6F2C - 4 Bytes           21CC754 : 0                   
6F30 - 4 Bytes           21CC758 : 0                   
6F34 - 4 Bytes           21CC75C : 0                   
6F38 - 4 Bytes           21CC760 : 0                   
6F3C - 4 Bytes           21CC764 : 0                   
6F40 - 4 Bytes           21CC768 : 0                   
6F44 - 4 Bytes           21CC76C : 0                   
6F48 - 4 Bytes           21CC770 : 0                   
6F4C - 4 Bytes           21CC774 : 0                   
6F50 - 4 Bytes           21CC778 : 0                   
6F54 - 4 Bytes           21CC77C : 0                   
6F58 - 4 Bytes           21CC780 : 0                   
6F5C - 4 Bytes           21CC784 : 0                   
6F60 - 4 Bytes           21CC788 : 0                   
6F64 - 4 Bytes           21CC78C : 0                   
6F68 - 4 Bytes           21CC790 : 0                   
6F6C - 4 Bytes           21CC794 : 0                   
6F70 - 4 Bytes           21CC798 : 0                   
6F74 - 4 Bytes           21CC79C : 0                   
6F78 - 4 Bytes           21CC7A0 : 0                   
6F7C - 4 Bytes           21CC7A4 : 0                   
6F80 - 4 Bytes           21CC7A8 : 0                   
6F84 - 4 Bytes           21CC7AC : 0                   
6F88 - 4 Bytes           21CC7B0 : 0                   
6F8C - 4 Bytes           21CC7B4 : 0                   
6F90 - 4 Bytes           21CC7B8 : 0                   
6F94 - 4 Bytes           21CC7BC : 0                   
6F98 - 4 Bytes           21CC7C0 : 0                   
6F9C - 4 Bytes           21CC7C4 : 0                   
6FA0 - 4 Bytes           21CC7C8 : 0                   
6FA4 - 4 Bytes           21CC7CC : 0                   
6FA8 - 4 Bytes           21CC7D0 : 0                   
6FAC - 4 Bytes           21CC7D4 : 0                   
6FB0 - 4 Bytes           21CC7D8 : 0                   
6FB4 - 4 Bytes           21CC7DC : 0                   
6FB8 - 4 Bytes           21CC7E0 : 0                   
6FBC - 4 Bytes           21CC7E4 : 0                   
6FC0 - 4 Bytes           21CC7E8 : 0                   
6FC4 - 4 Bytes           21CC7EC : 0                   
6FC8 - 4 Bytes           21CC7F0 : 0                   
6FCC - 4 Bytes           21CC7F4 : 0                   
6FD0 - 4 Bytes           21CC7F8 : 0                   
6FD4 - 4 Bytes           21CC7FC : 0                   
6FD8 - 4 Bytes           21CC800 : 3                   
6FDC - 4 Bytes           21CC804 : 0                   
6FE0 - 4 Bytes           21CC808 : 0                   
6FE4 - Pointer           21CC80C : P->000623E0         
6FE8 - 4 Bytes           21CC810 : 0                   
6FEC - 4 Bytes           21CC814 : 0                   
6FF0 - 4 Bytes           21CC818 : 58                  
6FF4 - Pointer           21CC81C : P->04040800         
6FF8 - 4 Bytes           21CC820 : 0                   
6FFC - 4 Bytes           21CC824 : 14                  
7000 - 4 Bytes           21CC828 : 0                   
7004 - 4 Bytes           21CC82C : 0                   
7008 - Float             21CC830 : -202.1520386        
700C - Pointer           21CC834 : P->43AE009F         
7010 - Float             21CC838 : -53.46378708        
7014 - 4 Bytes           21CC83C : 0                   
7018 - 4 Bytes           21CC840 : 0                   
701C - 4 Bytes           21CC844 : 0                   
7020 - 4 Bytes           21CC848 : 0                   
7024 - 4 Bytes           21CC84C : 0                   
7028 - 4 Bytes           21CC850 : 0                   
702C - 4 Bytes           21CC854 : 0                   
7030 - Pointer           21CC858 : P->43A16CF5         
7034 - 4 Bytes           21CC85C : 0                   
7038 - 4 Bytes           21CC860 : 0                   
703C - 4 Bytes           21CC864 : 0                   
7040 - 4 Bytes           21CC868 : 0                   
7044 - 4 Bytes           21CC86C : 9                   
7048 - 4 Bytes           21CC870 : 0                   
704C - 4 Bytes           21CC874 : 2                   
7050 - 4 Bytes           21CC878 : 0                   
7054 - 4 Bytes           21CC87C : 0                   
7058 - Pointer           21CC880 : P->01030000         
705C - 4 Bytes           21CC884 : 0                   
7060 - 4 Bytes           21CC888 : 0                   
7064 - 4 Bytes           21CC88C : 0                   
7068 - Pointer           21CC890 : P->01200004         
706C - 4 Bytes           21CC894 : 0                   
7070 - 4 Bytes           21CC898 : 0                   
7074 - 4 Bytes           21CC89C : 0                   
7078 - 4 Bytes           21CC8A0 : 0                   
707C - 4 Bytes           21CC8A4 : 0                   
7080 - Pointer           21CC8A8 : P->00020128         
7084 - 4 Bytes           21CC8AC : 0                   
7088 - 4 Bytes           21CC8B0 : 0                   
708C - 4 Bytes           21CC8B4 : 0                   
7090 - 4 Bytes           21CC8B8 : 0                   
7094 - 4 Bytes           21CC8BC : 0                   
7098 - 4 Bytes           21CC8C0 : 0                   
709C - 4 Bytes           21CC8C4 : 0                   
70A0 - 4 Bytes           21CC8C8 : 0                   
70A4 - 4 Bytes           21CC8CC : 0                   
70A8 - 4 Bytes           21CC8D0 : 0                   
70AC - 4 Bytes           21CC8D4 : 0                   
70B0 - 4 Bytes           21CC8D8 : 0                   
70B4 - 4 Bytes           21CC8DC : 0                   
70B8 - 4 Bytes           21CC8E0 : 0                   
70BC - 4 Bytes           21CC8E4 : 0                   
70C0 - 4 Bytes           21CC8E8 : 0                   
70C4 - 4 Bytes           21CC8EC : 0                   
70C8 - Pointer           21CC8F0 : P->03FF0012         
70CC - 4 Bytes           21CC8F4 : 157                 
70D0 - 4 Bytes           21CC8F8 : 0                   
70D4 - 4 Bytes           21CC8FC : 0                   
70D8 - 4 Bytes           21CC900 : 0                   
70DC - 4 Bytes           21CC904 : 0                   
70E0 - 4 Bytes           21CC908 : 0                   
70E4 - 4 Bytes           21CC90C : 0                   
70E8 - Pointer           21CC910 : P->01000001         
70EC - 4 Bytes           21CC914 : 0                   
70F0 - Float             21CC918 : -15                 
70F4 - Float             21CC91C : -15                 
70F8 - 4 Bytes           21CC920 : 0                   
70FC - Float             21CC924 : 15                  
7100 - Float             21CC928 : 15                  
7104 - Float             21CC92C : 48                  
7108 - Pointer           21CC930 : P->04000000         
710C - Float             21CC934 : -255.6306           
7110 - Pointer           21CC938 : P->4393435D         
7114 - Float             21CC93C : -106.9423523        
7118 - Byte              21CC940 : 105                 
7119 - Byte              21CC941 : 172                 
711A - 2 Bytes           21CC942 : 49940               
711C - Pointer           21CC944 : P->43C8BDE1         
7120 - Byte              21CC948 : 192                 
7121 - Byte              21CC949 : 39                  
7122 - Byte              21CC94A : 114                 
7123 - Byte              21CC94B : 60                  
7124 - Float             21CC94C : -202.1520386        
7128 - Pointer           21CC950 : P->43AE009F         
712C - Float             21CC954 : -53.46378708        
7130 - 4 Bytes           21CC958 : 0                   
7134 - Pointer           21CC95C : P->43A16CF5         
7138 - 4 Bytes           21CC960 : 0                   
713C - 4 Bytes           21CC964 : 0                   
7140 - 4 Bytes           21CC968 : 0                   
7144 - 4 Bytes           21CC96C : 0                   
7148 - 4 Bytes           21CC970 : 0                   
714C - 4 Bytes           21CC974 : 0                   
7150 - 4 Bytes           21CC978 : 0                   
7154 - 4 Bytes           21CC97C : 0                   
7158 - 4 Bytes           21CC980 : 0                   
715C - Pointer           21CC984 : P->0001009D         
7160 - Pointer           21CC988 : P->00030000         
7164 - Pointer           21CC98C : P->11850061         
7168 - 4 Bytes           21CC990 : 0                   
716C - 4 Bytes           21CC994 : 0                   
7170 - 4 Bytes           21CC998 : 0                   
7174 - 4 Bytes           21CC99C : 0                   
7178 - 4 Bytes           21CC9A0 : 0                   
717C - 4 Bytes           21CC9A4 : 0                   
7180 - 4 Bytes           21CC9A8 : 0                   
7184 - 4 Bytes           21CC9AC : 0                   
7188 - Pointer           21CC9B0 : P->00010001         
718C - 4 Bytes           21CC9B4 : 8526                
7190 - 4 Bytes           21CC9B8 : 0                   
7194 - 4 Bytes           21CC9BC : 0                   
7198 - 4 Bytes           21CC9C0 : 0                   
719C - 4 Bytes           21CC9C4 : 0                   
71A0 - 4 Bytes           21CC9C8 : 0                   
71A4 - 4 Bytes           21CC9CC : 0                   
71A8 - 4 Bytes           21CC9D0 : 0                   
71AC - 4 Bytes           21CC9D4 : 0                   
71B0 - 4 Bytes           21CC9D8 : 0                   
71B4 - 4 Bytes           21CC9DC : 0                   
71B8 - 4 Bytes           21CC9E0 : 0                   
71BC - 4 Bytes           21CC9E4 : 0                   
71C0 - 4 Bytes           21CC9E8 : 0                   
71C4 - 4 Bytes           21CC9EC : 0                   
71C8 - 4 Bytes           21CC9F0 : 0                   
71CC - 4 Bytes           21CC9F4 : 0                   
71D0 - 4 Bytes           21CC9F8 : 0                   
71D4 - 4 Bytes           21CC9FC : 0                   
71D8 - 4 Bytes           21CCA00 : 0                   
71DC - 4 Bytes           21CCA04 : 0                   
71E0 - 4 Bytes           21CCA08 : 0                   
71E4 - 4 Bytes           21CCA0C : 0                   
71E8 - 4 Bytes           21CCA10 : 0                   
71EC - 4 Bytes           21CCA14 : 0                   
71F0 - 4 Bytes           21CCA18 : 0                   
71F4 - 4 Bytes           21CCA1C : 0                   
71F8 - 4 Bytes           21CCA20 : 0                   
71FC - 4 Bytes           21CCA24 : 0                   
7200 - 4 Bytes           21CCA28 : 0                   
7204 - 4 Bytes           21CCA2C : 0                   
7208 - 4 Bytes           21CCA30 : 0                   
720C - 4 Bytes           21CCA34 : 0                   
7210 - 4 Bytes           21CCA38 : 0                   
7214 - 4 Bytes           21CCA3C : 0                   
7218 - 4 Bytes           21CCA40 : 0                   
721C - Pointer           21CCA44 : P->00063FCE         
7220 - 4 Bytes           21CCA48 : 0                   
7224 - 4 Bytes           21CCA4C : 0                   
7228 - 4 Bytes           21CCA50 : 0                   
722C - 4 Bytes           21CCA54 : 0                   
7230 - 4 Bytes           21CCA58 : 0                   
7234 - 4 Bytes           21CCA5C : 0                   
7238 - 4 Bytes           21CCA60 : 0                   
723C - 4 Bytes           21CCA64 : 0                   
7240 - 4 Bytes           21CCA68 : 0                   
7244 - 4 Bytes           21CCA6C : 0                   
7248 - 4 Bytes           21CCA70 : 0                   
724C - 4 Bytes           21CCA74 : 0                   
7250 - 4 Bytes           21CCA78 : 0                   
7254 - 4 Bytes           21CCA7C : 0                   
7258 - 4 Bytes           21CCA80 : 0                   
725C - 4 Bytes           21CCA84 : 0                   
7260 - 4 Bytes           21CCA88 : 0                   
7264 - 4 Bytes           21CCA8C : 0                   
7268 - 4 Bytes           21CCA90 : 0                   
726C - 4 Bytes           21CCA94 : 0                   
7270 - 4 Bytes           21CCA98 : 0                   
7274 - 4 Bytes           21CCA9C : 0                   
7278 - 4 Bytes           21CCAA0 : 0                   
727C - 4 Bytes           21CCAA4 : 0                   
7280 - 4 Bytes           21CCAA8 : 0                   
7284 - 4 Bytes           21CCAAC : 0                   
7288 - 4 Bytes           21CCAB0 : 0                   
728C - 4 Bytes           21CCAB4 : 0                   
7290 - 4 Bytes           21CCAB8 : 0                   
7294 - 4 Bytes           21CCABC : 0                   
7298 - 4 Bytes           21CCAC0 : 0                   
729C - 4 Bytes           21CCAC4 : 0                   
72A0 - 4 Bytes           21CCAC8 : 0                   
72A4 - 4 Bytes           21CCACC : 0                   
72A8 - 4 Bytes           21CCAD0 : 0                   
72AC - 4 Bytes           21CCAD4 : 0                   
72B0 - 4 Bytes           21CCAD8 : 0                   
72B4 - 4 Bytes           21CCADC : 0                   
72B8 - 4 Bytes           21CCAE0 : 0                   
72BC - 4 Bytes           21CCAE4 : 0                   
72C0 - 4 Bytes           21CCAE8 : 0                   
72C4 - 4 Bytes           21CCAEC : 0                   
72C8 - 4 Bytes           21CCAF0 : 0                   
72CC - 4 Bytes           21CCAF4 : 0                   
72D0 - 4 Bytes           21CCAF8 : 0                   
72D4 - 4 Bytes           21CCAFC : 0                   
72D8 - 4 Bytes           21CCB00 : 0                   
72DC - 4 Bytes           21CCB04 : 0                   
72E0 - 4 Bytes           21CCB08 : 0                   
72E4 - 4 Bytes           21CCB0C : 0                   
72E8 - 4 Bytes           21CCB10 : 0                   
72EC - 4 Bytes           21CCB14 : 0                   
72F0 - 4 Bytes           21CCB18 : 0                   
72F4 - 4 Bytes           21CCB1C : 3                   
72F8 - 4 Bytes           21CCB20 : 0                   
72FC - 4 Bytes           21CCB24 : 0                   
7300 - Pointer           21CCB28 : P->00063FCE         
7304 - 4 Bytes           21CCB2C : 0                   
7308 - 4 Bytes           21CCB30 : 0                   
730C - 4 Bytes           21CCB34 : 59                  
7310 - Pointer           21CCB38 : P->04040802         
